continent,education_of_employee,has_job_experience,requires_job_training,no_of_employees,yr_of_estab,region_of_employment,prevailing_wage,unit_of_wage,full_time_position,case_status
asia,high school,n,n,14513,2007,west,592.2029,hour,y,0
asia,master's,y,n,2412,2002,northeast,83425.65,year,y,1
asia,bachelor's,n,y,44444,2008,west,122996.86,year,y,0
asia,bachelor's,n,n,98,1897,west,83434.03,year,y,0
africa,master's,y,n,1082,2005,south,149907.39,year,y,1
asia,master's,y,n,2339,2012,south,78252.14,year,y,1
asia,bachelor's,n,n,4985,1994,south,53635.39,year,y,1
north america,bachelor's,y,n,3035,1924,west,418.2298,hour,y,0
asia,bachelor's,n,n,4810,2012,midwest,74362.19,year,y,1
europe,doctorate,y,n,2251,1995,south,67514.76,year,y,1
asia,master's,n,n,2465,2004,midwest,83588.56,year,y,1
asia,high school,y,n,4069,2005,northeast,70813.09,year,y,0
asia,bachelor's,y,n,123876,1963,northeast,28663.05,year,y,1
asia,bachelor's,y,n,1652,2007,midwest,107196.03,year,y,1
asia,master's,y,y,15756,2006,south,220081.73,year,y,1
asia,high school,y,n,4897,1987,west,74108.02,year,y,0
europe,master's,y,n,76638,1991,midwest,3706.79,year,y,1
asia,master's,y,n,2747,2001,west,16132.61,year,y,1
africa,master's,y,n,4743,2004,midwest,150441.13,year,y,1
asia,doctorate,n,n,843,1972,midwest,79948.12,year,y,1
asia,master's,n,n,880,2008,west,71128.98,year,y,0
north america,master's,y,n,1706,2013,midwest,137694.98,year,n,1
asia,master's,y,n,2878,1968,west,45642.39,year,y,1
north america,high school,n,n,1517,1884,midwest,90108.38,year,n,1
europe,doctorate,y,n,241,1981,midwest,71286.04,year,y,1
north america,master's,n,n,1100,1997,midwest,99489.65,year,y,1
asia,bachelor's,y,n,756,1995,south,86332.95,year,y,1
asia,high school,y,y,2889,2005,south,103029.33,year,y,1
asia,master's,y,n,18,2004,northeast,40925.86,year,y,1
asia,bachelor's,y,n,758,2009,northeast,189190.48,year,y,1
asia,master's,y,n,1408,1998,midwest,79594.12,year,n,1
asia,doctorate,y,n,995,1880,south,135866.13,year,n,1
asia,bachelor's,n,n,2415,1963,midwest,72077.57,year,n,1
asia,high school,n,n,2395,2000,south,81921.18,year,y,1
asia,master's,n,n,1809,2010,south,225569.73,year,n,1
asia,high school,y,n,5512,2001,northeast,92421.92,year,y,0
europe,high school,y,n,2520,1981,west,2490.12,year,y,0
europe,master's,y,y,44,1965,south,110817.26,year,y,1
asia,bachelor's,y,y,2206,1909,northeast,50960.01,year,y,1
asia,master's,n,n,3729,2007,midwest,125336.9,year,y,1
asia,bachelor's,y,n,3723,2011,west,39633.32,year,y,1
asia,master's,y,n,1209,1989,northeast,156326.33,year,n,1
europe,doctorate,y,n,19770,2005,west,43630.58,year,y,1
north america,master's,y,n,2582,1989,south,54614.42,year,y,1
asia,high school,y,n,5407,1998,west,28989.87,year,y,0
europe,bachelor's,n,y,2092,1998,south,22924.91,year,y,1
asia,bachelor's,y,n,2623,2008,south,61567.75,year,y,1
asia,high school,y,n,226,1991,midwest,156251.17,year,y,1
asia,bachelor's,y,n,2405,1933,south,86022.02,year,y,1
asia,doctorate,n,y,2171,1960,northeast,49565.37,year,y,0
asia,bachelor's,n,n,746,1991,midwest,66191.41,year,y,1
asia,master's,y,n,3129,2003,midwest,95623.2,year,n,1
asia,bachelor's,n,n,1647,1998,midwest,115014.05,year,y,1
asia,high school,y,n,2438,1976,midwest,35018.04,year,y,1
asia,master's,y,n,11733,1995,northeast,230.8072,hour,y,1
asia,master's,y,n,2368,1998,northeast,113799.64,year,y,1
europe,bachelor's,y,y,779,1994,west,85854.09,year,y,1
asia,bachelor's,y,n,2825,1996,northeast,14174.04,year,y,1
europe,bachelor's,n,n,3510,2007,west,47176.84,year,y,1
asia,doctorate,n,n,2624,2012,midwest,4949.28,year,y,1
asia,master's,n,y,5340,2010,west,67410.59,year,y,0
europe,doctorate,y,y,2311,1994,midwest,58791.58,year,y,1
asia,high school,n,n,5110,2004,west,103.2216,hour,y,0
europe,bachelor's,y,n,1316,1995,south,62591.57,year,y,1
asia,master's,n,n,100,2001,northeast,102919.59,year,y,0
asia,master's,y,n,2021,2007,midwest,123468.56,year,y,1
north america,bachelor's,n,n,80,1968,west,82324.64,year,n,0
europe,doctorate,y,n,2070,1847,west,5319.49,year,y,1
asia,bachelor's,y,y,2654,2013,midwest,153019.94,year,y,1
asia,master's,y,n,292,2005,south,38059.89,year,y,1
asia,high school,y,n,1320,2001,northeast,230.327,hour,y,0
asia,high school,y,n,1722,2007,south,61521.92,year,y,1
europe,bachelor's,y,n,3339,1935,northeast,121316.5,year,y,0
asia,master's,y,n,452,1890,south,122540.55,year,y,1
africa,master's,y,n,3705,2001,south,47170.76,year,y,1
north america,bachelor's,n,n,85,1999,northeast,330.3743,hour,y,0
europe,bachelor's,y,n,2423,1838,west,2927.34,year,y,1
asia,bachelor's,y,n,1274,1999,south,107781.48,year,y,1
north america,master's,n,n,1549,2001,south,590.0203,hour,y,1
asia,high school,n,y,1062,1998,west,194176.83,year,y,0
asia,bachelor's,y,n,32619,1947,south,102073.81,year,y,1
asia,master's,y,n,4036,2001,south,113882.38,year,y,1
asia,high school,y,n,39,2000,west,70778.82,year,y,0
asia,bachelor's,y,n,2359,2007,northeast,84125.48,year,y,1
asia,master's,y,y,1023,2002,south,174014.59,year,y,1
asia,master's,y,n,2480,1981,northeast,34213.17,year,y,1
asia,high school,n,n,1255,1989,northeast,79813.05,year,n,0
asia,high school,y,n,4455,1998,west,113327.34,year,y,0
asia,bachelor's,n,n,2543,1939,northeast,78893.64,year,y,0
asia,bachelor's,y,n,1359,2008,west,140290.16,year,y,1
asia,high school,y,y,2324,2006,northeast,111926.01,year,y,0
north america,bachelor's,n,n,4103,2004,northeast,125880.21,year,y,0
asia,bachelor's,n,n,3667,1970,northeast,527.8901,hour,y,0
asia,high school,n,n,488,2010,midwest,49357.95,year,y,1
north america,bachelor's,y,n,2724,1998,south,69335.2,year,y,1
asia,master's,n,n,1392,2001,south,99737.18,year,n,1
north america,bachelor's,y,n,2573,1977,northeast,91449.62,year,y,0
north america,bachelor's,y,n,3524,1982,midwest,34494.86,year,y,1
asia,high school,n,n,1847,1977,northeast,395.995,hour,y,0
asia,master's,n,n,107535,1970,west,159645.51,year,y,0
asia,master's,y,n,2227,2007,northeast,28243.79,year,y,1
asia,master's,y,n,334,2007,midwest,43421.88,year,y,1
asia,bachelor's,y,n,224,2008,midwest,80253.78,year,y,1
asia,doctorate,y,n,367,1982,west,115235.95,year,y,1
asia,master's,y,n,306,2003,northeast,95200.86,year,n,1
north america,doctorate,y,n,2317,1995,island,41613.52,year,y,1
asia,bachelor's,n,n,890,1981,west,64137.41,year,y,0
asia,bachelor's,y,n,2002,2006,south,66295.43,year,y,1
