education_of_employee,has_job_experience,requires_job_training,no_of_employees,yr_of_estab,prevailing_wage,unit_of_wage,full_time_position,case_status,continent_asia,continent_europe,continent_north america,continent_oceania,continent_south america,region_of_employment_midwest,region_of_employment_northeast,region_of_employment_south,region_of_employment_west,request_ratio,readiness_score,high_investment_flag,expertise_level_Specialist,expertise_level_Standard
1,0,0,2.002814823511326,2007.0,592.2029,hour,1,0,True,False,False,False,False,False,False,False,True,0.00013837000136455375,0,0,False,False
3,1,0,0.04815437041356771,2002.0,83425.65,year,1,1,True,False,False,False,False,False,True,False,False,0.0004145936980038998,1,0,False,True
2,0,1,2.002814823511326,2008.0,122996.86,year,1,0,True,False,False,False,False,False,False,False,True,0.00013837000136455375,1,1,False,True
2,0,0,-0.9405840206582399,1932.5,83434.03,year,1,0,True,False,False,False,False,False,False,False,True,0.010204081528529781,0,0,False,False
3,1,0,-0.9405840206582399,2005.0,149907.39,year,1,1,False,False,False,False,False,False,False,True,False,0.0009242144168907444,1,0,False,True
3,1,0,-0.02642190275860013,2012.0,78252.14,year,1,1,True,False,False,False,False,False,False,True,False,0.0004275331336350863,1,0,False,True
2,0,0,1.457362633554029,1994.0,53635.39,year,1,1,True,False,False,False,False,False,False,True,False,0.00020060180537600765,0,0,False,False
2,1,0,0.5595821388998238,1932.5,418.2298,hour,1,0,False,False,True,False,False,False,False,False,True,0.0003294892914894599,1,0,False,True
2,0,0,1.3999979355701746,2012.0,74362.19,year,1,1,True,False,False,False,False,True,False,False,False,0.00020790020785698538,0,0,False,False
4,1,0,-0.1218118986388123,1995.0,67514.76,year,1,1,False,True,False,False,False,False,False,True,False,0.0004442470011353856,1,0,False,True
3,0,0,0.09993610998476231,2004.0,83588.56,year,1,1,True,False,False,False,False,True,False,False,False,0.00040567951302000835,0,0,False,False
1,1,0,1.117900423536448,2005.0,70813.09,year,1,0,True,False,False,False,False,False,True,False,False,0.00024576062908681235,1,0,False,True
2,1,0,2.002814823511326,1963.0,28663.05,year,1,1,True,False,False,False,False,False,True,False,False,0.00013837000136455375,1,0,False,True
2,1,0,-0.9405840206582399,2007.0,107196.03,year,1,1,True,False,False,False,False,True,False,False,False,0.0006053268761468966,1,0,False,True
3,1,1,2.002814823511326,2006.0,218315.56125000003,year,1,1,True,False,False,False,False,False,False,True,False,0.00013837000136455375,2,0,True,False
1,1,0,1.4288925265163799,1987.0,74108.02,year,1,0,True,False,False,False,False,False,False,False,True,0.0002042066570953223,1,0,False,True
3,1,0,2.002814823511326,1991.0,3706.79,year,1,1,False,True,False,False,False,True,False,False,False,0.00013837000136455375,1,0,False,True
3,1,0,0.3469416129056083,2001.0,16132.61,year,1,1,True,False,False,False,False,False,False,False,True,0.0003640334909486591,1,0,False,True
3,1,0,1.3772163368208243,2004.0,150441.13,year,1,1,False,False,False,False,False,True,False,False,False,0.00021083702293678324,1,0,False,True
4,0,0,-0.9405840206582399,1972.0,79948.12,year,1,1,True,False,False,False,False,True,False,False,False,0.001186239618996157,0,0,False,False
3,0,0,-0.9405840206582399,2008.0,71128.98,year,1,0,True,False,False,False,False,False,False,False,True,0.001136363635072314,0,0,False,False
3,1,0,-0.9037550825051338,2013.0,137694.98,year,0,1,False,False,True,False,False,True,False,False,False,0.0005861664709342517,1,0,False,True
3,1,0,0.4479410052793629,1968.0,45642.39,year,1,1,True,False,False,False,False,False,False,False,True,0.00034746351621005436,1,0,False,True
1,0,0,-0.9405840206582399,1932.5,90108.38,year,0,1,False,False,True,False,False,True,False,False,False,0.0006591957807124615,0,0,False,False
4,1,0,-0.9405840206582399,1981.0,71286.04,year,1,1,False,True,False,False,False,True,False,False,False,0.0041493775761436615,1,0,False,True
3,0,0,-0.9405840206582399,1997.0,99489.65,year,1,1,False,False,True,False,False,True,False,False,False,0.0009090909082644628,0,0,False,False
2,1,0,-0.9405840206582399,1995.0,86332.95,year,1,1,True,False,False,False,False,False,False,True,False,0.0013227513210016517,1,0,False,True
1,1,1,0.45608135527759447,2005.0,103029.33,year,1,1,True,False,False,False,False,False,False,True,False,0.00034614053293660765,2,0,True,False
3,1,0,-0.9405840206582399,2004.0,40925.86,year,1,1,True,False,False,False,False,False,True,False,False,0.055555552469135974,1,0,False,True
2,1,0,-0.9405840206582399,2009.0,189190.48,year,1,1,True,False,False,False,False,False,True,False,False,0.0013192612119798666,1,0,False,True
3,1,0,-0.9405840206582399,1998.0,79594.12,year,0,1,True,False,False,False,False,True,False,False,False,0.0007102272722228499,1,0,False,True
4,1,0,-0.9405840206582399,1932.5,135866.13,year,0,1,True,False,False,False,False,False,False,True,False,0.001005025124618065,1,0,False,True
2,0,0,0.05113681822088782,1963.0,72077.57,year,0,1,True,False,False,False,False,True,False,False,False,0.000414078674776779,0,0,False,False
1,0,0,0.031133925119370288,2000.0,81921.18,year,1,1,True,False,False,False,False,False,False,True,False,0.00041753653427242733,0,0,False,False
3,0,0,-0.7228961736319702,2010.0,218315.56125000003,year,0,1,True,False,False,False,False,False,False,True,False,0.0005527915972621384,0,0,False,False
1,1,0,1.613718909502311,2001.0,92421.92,year,1,0,True,False,False,False,False,False,True,False,False,0.00018142235120075791,1,0,False,True
1,1,0,0.15172031235977523,1981.0,2490.12,year,1,0,False,True,False,False,False,False,False,False,True,0.00039682539666792643,1,0,False,True
3,1,1,-0.9405840206582399,1965.0,110817.26,year,1,1,False,True,False,False,False,False,False,True,False,0.022727272210743815,2,0,True,False
2,1,1,-0.17312857897951242,1932.5,50960.01,year,1,1,True,False,False,False,False,False,True,False,False,0.0004533091566394791,2,0,True,False
3,0,0,0.9610181392484326,2007.0,125336.9,year,1,1,True,False,False,False,False,True,False,False,False,0.00026816840968941585,0,0,False,False
2,1,0,0.9580544265844121,2011.0,39633.32,year,1,1,True,False,False,False,False,False,False,False,True,0.00026860059084915375,1,0,False,True
3,1,0,-0.9405840206582399,1989.0,156326.33,year,0,1,True,False,False,False,False,False,True,False,False,0.00082712985870378,1,0,False,True
4,1,0,2.002814823511326,2005.0,43630.58,year,1,1,False,True,False,False,False,False,False,False,True,0.00013837000136455375,1,0,False,True
3,1,0,0.20786691534008178,1989.0,54614.42,year,1,1,False,False,True,False,False,False,False,True,False,0.00038729666909864577,1,0,False,True
1,1,0,1.5843408314951262,1998.0,28989.87,year,1,0,True,False,False,False,False,False,False,False,True,0.0001849454410606722,1,0,False,True
2,0,1,-0.31174302752846744,1998.0,22924.91,year,1,1,False,True,False,False,False,False,False,True,False,0.0004780114720468397,1,1,False,True
2,1,0,0.24377563920420978,2008.0,61567.75,year,1,1,True,False,False,False,False,False,False,True,False,0.0003812428515511846,1,0,False,True
1,1,0,-0.9405840206582399,1991.0,156251.17,year,1,1,True,False,False,False,False,True,False,False,False,0.00442477874148328,1,0,False,True
2,1,0,0.04117074092640574,1933.0,86022.02,year,1,1,True,False,False,False,False,False,False,True,False,0.00041580041562752586,1,0,False,True
4,0,1,-0.21432226178210853,1960.0,49565.37,year,1,0,True,False,False,False,False,False,True,False,False,0.00046061722687212474,1,1,False,True
2,0,0,-0.9405840206582399,1991.0,66191.41,year,1,1,True,False,False,False,False,True,False,False,False,0.001340482571929648,0,0,False,False
3,1,0,0.6220880218514199,2003.0,95623.2,year,0,1,True,False,False,False,False,True,False,False,False,0.0003195909235156309,1,0,False,True
2,0,0,-0.9405840206582399,1998.0,115014.05,year,1,1,True,False,False,False,False,True,False,False,False,0.0006071645412221222,0,0,False,False
1,1,0,0.07379505797496813,1976.0,35018.04,year,1,1,True,False,False,False,False,True,False,False,False,0.0004101722721861476,1,0,False,True
